,Artist Name,Track Name,ms Played,Listen Count,Key,Tempo,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence,Liked
7330,Tuvaband,Everything We Do Is Wrong,247588,3,9,109.541,0.339,0.294,-11.564,0.037,0.97,0.0745,0.0711,False
7331,Ovlov,The Wishing Well,118570,1,2,122.699,0.485,0.741,-8.593,0.0349,0.159,0.0948,0.276,False
7332,Kina Grannis,Iris,181136,2,6,130.769,0.497,0.13,-15.571,0.0436,0.841,0.111,0.179,False
7333,Kita Alexander,Hotel,227557,1,7,129.535,0.413,0.621,-5.862,0.0281,0.348,0.111,0.199,False
7334,Uncle Jed,Latch,278522,1,11,87.727,0.545,0.237,-9.597,0.0328,0.947,0.159,0.282,False
7335,Eve 6,Arch Drive Goodbye,244186,3,11,88.048,0.518,0.691,-5.617,0.0263,0.00314,0.344,0.462,False
7336,Tiffany Alvord,Love Me Like You Do,226645,1,7,98.023,0.557,0.591,-5.368,0.0421,0.24,0.0853,0.335,False
7337,BONES UK,Filthy Freaks,171500,47,10,143.953,0.616,0.933,-3.801,0.0946,0.000315,0.364,0.794,True
7338,Colin & Caroline,More Than Gravity,266078,2,4,110.969,0.62,0.468,-9.648,0.0268,0.715,0.106,0.217,False
7339,Tiffany Alvord,Baby I Love You,214538,1,6,149.929,0.599,0.446,-3.24,0.0257,0.771,0.124,0.266,False
7340,Adam Lambert,If I Had You,228240,1,4,131.147,0.648,0.908,-4.251,0.108,0.0113,0.374,0.793,False
7341,A Killer's Confession,Numb,262747,4,9,137.024,0.537,0.878,-4.359,0.0392,0.00475,0.0822,0.512,False
7342,Phillip Phillips,"Gone, Gone, Gone",209693,3,6,118.002,0.664,0.642,-5.961,0.038,0.129,0.114,0.501,False
7343,Hard-FI,Suburban Knights,269599,1,8,110.129,0.535,0.868,-4.551,0.0359,0.000153,0.0555,0.581,False
7344,t.A.T.u.,"Ne Ver, Ne Boisia - Eurovision 2003 Version",182506,6,10,136.019,0.657,0.805,-5.517,0.0328,0.0193,0.418,0.662,False
7345,Gin Wigmore,Track By Track: If Only,0,2,5,45.247,0.808,0.103,-26.223,0.92,0.88,0.503,0.757,False
7346,Purity Ring,Asido,220613,1,2,142.083,0.605,0.572,-9.322,0.0524,0.179,0.274,0.306,False
7347,MCC [Magna Carta Cartel],Turn,239320,8,9,128.015,0.497,0.821,-6.879,0.0324,0.002,0.402,0.274,False
7348,Within Temptation,Endless War - Single Edit,222911,3,3,145.049,0.461,0.848,-4.598,0.0542,0.00569,0.257,0.248,False
7349,Sufjan Stevens,To Be Alone With You,168040,8,0,142.116,0.519,0.163,-18.131,0.0489,0.926,0.115,0.356,False
7350,AFI,Snow Cats,200920,4,4,131.092,0.294,0.775,-4.271,0.0454,0.00291,0.254,0.471,False
7351,Gabrielle Shonk,Habit,249413,4,7,81.891,0.336,0.459,-6.049,0.04,0.18,0.105,0.296,False
7352,Three Days Grace,Just Like You,186893,5,1,177.9,0.373,0.737,-5.282,0.0297,9.4e-06,0.0696,0.565,False
7353,VERIDIA,Savage,192306,1,2,82.081,0.619,0.775,-5.785,0.0844,0.117,0.182,0.384,False
7354,Supertramp,Bloody Well Right,95849,1,3,75.501,0.575,0.446,-13.839,0.105,0.426,0.0656,0.532,False
7355,Sasha Alex Sloan,Normal,192200,2,5,120.166,0.749,0.419,-9.41,0.0719,0.528,0.113,0.279,False
7356,Jinjer,Who is Gonna Be the One,662140,1,7,150.001,0.299,0.96,-2.448,0.125,0.00257,0.328,0.147,False
7357,LiSA,ADAMAS,225000,6,1,95.524,0.508,0.991,-1.768,0.123,0.00906,0.316,0.295,False
7358,YONAKA,Seize the Power,161617,38,5,134.13,0.633,0.788,-4.075,0.127,0.0111,0.0582,0.412,True
7359,Avery,Got My Eyes on You,203102,1,7,92.051,0.626,0.725,-5.909,0.063,0.217,0.186,0.592,False
7360,Coheed and Cambria,The Pavilion (A Long Way Back),311653,1,2,185.877,0.24,0.951,-4.94,0.0876,0.00143,0.251,0.394,False
7361,Hailee Steinfeld,Most Girls - Acoustic,200880,2,9,205.598,0.676,0.266,-8.847,0.184,0.514,0.108,0.707,False
7362,Transviolet,New Bohemia,11113,1,6,171.863,0.495,0.888,-5.275,0.161,0.00982,0.135,0.434,False
7363,OSI,Blood,653595,11,6,159.962,0.517,0.495,-10.467,0.0284,0.0394,0.0928,0.0398,False
7364,Breaking Benjamin,Dance With The Devil,227106,15,3,155.041,0.345,0.929,-4.469,0.142,0.00015,0.129,0.181,False
7365,Alternative Radio,I'm Coming Home,45650,1,9,110.001,0.708,0.738,-8.794,0.0245,0.11,0.169,0.723,False
7366,MGMT,"Of Moons, Birds & Monsters",286720,1,1,124.061,0.598,0.899,-3.861,0.0424,0.0218,0.0814,0.403,False
7367,Colbie Caillat,Try,224573,8,1,139.995,0.603,0.376,-9.77,0.0288,0.807,0.108,0.538,False
7368,Fireproven,Waves of Extinction,390108,2,11,160.01,0.415,0.945,-5.837,0.0661,0.00126,0.113,0.213,False
7369,FLOW,BURN,242066,1,8,98.844,0.449,0.942,-4.098,0.0932,0.00165,0.103,0.443,False
7370,Blackbriar,Beautiful Delirium,205999,1,8,125.067,0.534,0.596,-6.585,0.0308,0.0101,0.163,0.167,False
7371,Plain White T's,Hate (I Really Don't Like You),224853,1,1,161.93,0.448,0.814,-4.601,0.0337,0.00145,0.104,0.523,False
7372,Alyssa Bernal,Almost Is Never Enough,212000,1,2,118.244,0.413,0.308,-9.226,0.0373,0.77,0.122,0.292,False
7373,"Time, The Valuator",Vibrant,259847,2,1,122.104,0.256,0.934,-6.12,0.151,0.00144,0.135,0.341,False
7374,Bon Iver,Re: Stacks,401413,4,2,125.053,0.676,0.0812,-22.846,0.0398,0.979,0.118,0.314,False
7375,The Post War,Bend,282873,5,8,110.287,0.223,0.906,-4.144,0.103,0.00221,0.103,0.302,False
7376,JR JR,Skeletons,138706,1,8,101.021,0.631,0.809,-7.988,0.0387,0.238,0.283,0.597,False
7377,Lana Del Rey,Let Me Love You Like A Woman,200661,2,0,128.333,0.403,0.245,-11.862,0.0569,0.969,0.119,0.148,False
7378,Gabby Barrett,I Hope,210772,2,6,75.998,0.466,0.536,-6.227,0.0429,0.0951,0.114,0.377,False
7379,Mushroomhead,The Heresy,239710,5,10,169.949,0.423,0.859,-4.65,0.0319,0.000203,0.769,0.301,False
7380,The Haunt,Why Are You So Cold?,199644,7,5,131.205,0.307,0.574,-5.179,0.0461,0.000388,0.102,0.145,False
7381,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),217466,4,7,114.066,0.601,0.794,-5.844,0.0671,0.00987,0.388,0.244,False
7382,Seraphim,Hallelujah,261428,4,11,107.962,0.467,0.793,-5.725,0.0396,0.000444,0.0841,0.141,False
7383,A Perfect Circle,Feathers,348320,5,7,134.101,0.405,0.733,-2.707,0.0377,0.016,0.0687,0.207,False
7384,Our Promise,Souvenirs,208522,1,7,117.579,0.514,0.966,-4.675,0.0793,0.000804,0.356,0.175,False
7385,cehryl,"outside the party, inside the dream - a maddie jay remix",194335,2,4,133.397,0.755,0.383,-13.481,0.0385,0.287,0.259,0.312,False
7386,Castlecomer,Fire Alarm,0,6,9,145.01,0.513,0.924,-4.574,0.0503,0.000151,0.303,0.52,False
7387,Lucius,Eventually,226346,6,1,78.926,0.658,0.394,-7.537,0.025,0.603,0.176,0.232,False
7388,Jim Lauderdale,I've Still Got You,396132,1,9,98.04,0.606,0.782,-6.396,0.0317,0.0696,0.377,0.424,False
7389,David Guetta,I'm That Bitch (feat. Saweetie),128154,1,1,122.992,0.826,0.834,-5.856,0.104,0.012,0.12,0.902,False
7390,Evanescence,Never Go Back,290546,1,4,124.75,0.292,0.589,-5.541,0.0432,0.593,0.164,0.0555,False
7391,Stevie Nicks,Crystal - 2019 Remaster,353533,1,4,125.471,0.326,0.281,-11.207,0.0327,0.189,0.196,0.196,False
7392,Dr. Colossus,Sixty-Six and Six,289266,10,1,83.364,0.474,0.576,-9.227,0.0296,0.000639,0.105,0.249,False
7393,Tyler Shaw,Maybe This Christmas,124642,1,4,90.941,0.594,0.386,-12.726,0.032,0.582,0.102,0.14,False
7394,TV On The Radio,Young Liars,312280,9,0,82.118,0.473,0.691,-7.984,0.0248,0.0312,0.147,0.421,False
7395,Fleetwood Mac,Tusk - 2015 Remaster,217573,1,0,180.837,0.628,0.779,-11.841,0.0831,0.224,0.151,0.936,False
7396,Sharks In Your Mouth,Gone,251571,1,3,140.029,0.519,0.641,-5.935,0.0317,0.028,0.174,0.503,False
7397,"nothing,nowhere.",blood (feat. KennyHoopla & JUDGE),158429,2,4,81.009,0.614,0.817,-4.588,0.144,0.0379,0.146,0.842,False
7398,Metallica,Ride The Lightning (Remastered),710531,1,9,148.506,0.265,0.973,-6.129,0.173,5.15e-05,0.205,0.27,False
7399,Hailee Steinfeld,Rock Bottom,198240,12,8,157.968,0.611,0.706,-5.036,0.0603,0.313,0.053,0.724,False
7400,Machine Gun Kelly,Glass House (feat. Naomi Wild),9910,2,1,149.968,0.68,0.586,-7.01,0.0567,0.0174,0.128,0.196,False
7401,Stand Atlantic,Hate Me (Sometimes),233453,6,6,131.915,0.573,0.878,-3.497,0.0571,0.00171,0.0686,0.534,False
7402,Pink Floyd,Goodbye Blue Sky,36502,1,7,109.154,0.638,0.0811,-22.646,0.0335,0.879,0.314,0.0503,False
7403,Mumford & Sons,Believe - Live,229789,3,11,114.036,0.389,0.513,-7.135,0.0474,0.193,0.263,0.284,False
7404,Jeremy Soule,Unbound,92611,3,2,124.65,0.169,0.0862,-26.144,0.041,0.841,0.0913,0.125,False
7405,Glass Tides,Fuck It,211214,19,5,142.004,0.507,0.913,-5.048,0.0476,1.45e-05,0.0689,0.36,False
7406,Neon Trees,Songs I Can't Listen To,200626,11,11,175.02,0.473,0.833,-4.996,0.0423,0.00781,0.0737,0.705,False
7407,RAVANNA,Причина для ненависти,188880,2,6,174.9,0.463,0.872,-4.877,0.0356,0.000116,0.222,0.408,False
7408,FLETCHER,Shh...Don't Say It,168933,1,5,108.989,0.789,0.501,-5.433,0.0746,0.209,0.191,0.694,False
7409,Flight Paths,Robbery,198000,1,2,80.005,0.388,0.975,-4.924,0.0712,0.00207,0.0886,0.677,False
7410,OneRepublic,Secrets,224693,16,2,148.021,0.516,0.764,-6.223,0.0366,0.0717,0.115,0.376,False
7411,Sara Bareilles,Gravity,232760,2,0,168.964,0.27,0.275,-10.357,0.0356,0.834,0.146,0.231,False
7412,The Airborne Toxic Event,Changing,200053,3,8,102.524,0.613,0.913,-4.26,0.0545,0.0186,0.084,0.641,False
7413,Bela Nemeth,Second Coming,193500,1,5,95.274,0.515,0.0385,-21.088,0.0515,0.994,0.106,0.359,False
7414,First to Eleven,Everything I Wanted,267000,4,6,119.961,0.617,0.563,-9.394,0.0359,0.015,0.111,0.425,False
7415,Poppy,Play Destroy,185278,12,2,120.057,0.531,0.936,-3.975,0.0786,0.00284,0.665,0.556,False
7416,Delain,Here Come the Vultures,365520,2,2,92.965,0.497,0.813,-4.511,0.0342,0.00955,0.588,0.232,False
7417,New Years Day,Shut Up,211773,20,8,142.901,0.553,0.829,-4.429,0.105,0.000589,0.117,0.424,False
7418,Too Close To Touch,Comatose,203180,3,4,162.057,0.322,0.836,-3.083,0.0863,0.0222,0.19,0.403,False
7419,WE ARE FURY,Echoes,101190,4,7,100.02,0.649,0.658,-6.524,0.0299,0.0175,0.135,0.0494,False
7420,Violet Skies,Is She Gonna Be There?,180630,1,8,82.002,0.441,0.372,-9.575,0.0475,0.47,0.118,0.431,False
7421,Tonight Alive,Book Of Love,188933,2,4,126.041,0.584,0.903,-2.995,0.0386,0.00116,0.204,0.396,False
7422,Stars,Your Ex-Lover Is Dead,256053,4,0,153.306,0.395,0.5,-6.794,0.031,0.00268,0.207,0.333,False
7423,Lacey Sturm,State of Me,194775,5,0,134.001,0.536,0.882,-4.013,0.0418,0.00578,0.103,0.592,False
7424,Joe Ford,Breaking Point (feat. Robin Adams),363459,14,10,119.021,0.603,0.954,-3.391,0.0432,0.000204,0.335,0.367,True
7425,Cellar Darling,The Spell,281206,7,4,127.959,0.265,0.574,-6.799,0.0374,0.0604,0.104,0.0879,False
7426,A R I Z O N A,Nostalgic,182667,4,0,99.972,0.691,0.538,-9.952,0.103,0.246,0.178,0.329,False
7427,Pistol Annies,Takin' Pills,80898,1,0,77.999,0.581,0.858,-3.824,0.0435,0.0148,0.38,0.53,False
7428,BABYMETAL,Awadama Fever,253026,2,9,92.464,0.215,0.982,-1.951,0.181,0.000399,0.316,0.309,False
7429,Grouplove,Don't Say Oh Well,158240,1,1,185.052,0.374,0.959,-3.796,0.0503,0.00342,0.0495,0.75,False
7430,The Animal In Me,Shape of You,238299,5,1,95.99,0.588,0.944,-4.474,0.0474,0.00446,0.154,0.455,False
7431,Beneath The Silence,Ashes,248649,1,5,108.012,0.517,0.922,-5.005,0.0868,0.000273,0.249,0.431,False
7432,Boyce Avenue,Speed Limit (Acoustic),230295,2,1,119.223,0.636,0.367,-7.352,0.0287,0.443,0.109,0.454,False
7433,Echosmith,Future Me,205973,4,2,99.958,0.657,0.709,-4.624,0.0776,0.00769,0.613,0.46,False
7434,Tom Petty,There Goes Angela (Dream Away) - Home Recording,229002,3,7,98.827,0.623,0.273,-12.904,0.026,0.26,0.423,0.363,False
7435,Violet Orlandi,Watch Over You,261818,2,11,84.942,0.534,0.287,-9.254,0.03,0.814,0.188,0.145,False
7436,Viza,Eros,312111,2,2,159.923,0.518,0.761,-5.998,0.053,0.302,0.0867,0.342,False
7437,Dead Posey,Holy Roller,217667,2,6,170.032,0.392,0.852,-5.322,0.0685,0.00223,0.128,0.582,False
7438,A Perfect Circle,Rose (Live),225981,7,4,120.034,0.356,0.828,-5.369,0.0553,0.00088,0.729,0.306,False
7439,Motionless In White,Another Life: Motion Picture Collection (feat. Kerli),236272,4,4,75.032,0.419,0.515,-7.498,0.0335,0.638,0.07,0.389,False
7440,The Haunt,Twisted Dream,186206,3,0,173.606,0.319,0.685,-6.831,0.0516,0.00283,0.376,0.0781,False
7441,Priscilla Ahn,Dream,211240,2,2,109.692,0.512,0.248,-10.359,0.0275,0.75,0.114,0.158,False
7442,Dove Cameron,We Belong,170521,3,10,168.108,0.654,0.47,-6.245,0.0368,0.0704,0.133,0.56,False
7443,NEIKED,Call Me,182038,1,8,106.167,0.619,0.545,-6.714,0.0486,0.118,0.289,0.656,False
7444,MIKA,Elle me dit,216933,9,10,125.992,0.791,0.772,-3.715,0.0394,0.0585,0.0776,0.476,False
7445,Runnner,Awash,189399,2,2,139.901,0.497,0.481,-9.999,0.0271,0.595,0.306,0.214,False
7446,LUCHS,Dawning,139671,1,0,140.145,0.213,0.122,-20.494,0.0327,0.36,0.184,0.0396,False
7447,lovelytheband,these are my friends,208946,8,11,84.977,0.617,0.732,-6.737,0.0278,0.0278,0.125,0.723,False
7448,Florence + The Machine,Cosmic Love,255133,2,9,140.003,0.524,0.803,-5.56,0.0366,0.145,0.115,0.0827,False
7449,Mike Ault,RLCS Theme,75916,1,2,105.014,0.603,0.896,-7.138,0.0304,0.0157,0.882,0.964,False
7450,Spare Parts For Broken Hearts,Mush,220878,1,8,127.997,0.554,0.915,-8.52,0.0522,0.00105,0.13,0.327,False
7451,Fleurie,Hymn,345744,1,0,132.144,0.394,0.42,-9.267,0.0321,0.275,0.112,0.0578,False
7452,Kurt Hugo Schneider,drivers license,12270,1,10,144.001,0.641,0.253,-10.416,0.0598,0.71,0.369,0.236,False
7453,Modest Mouse,Coyotes,210933,1,4,108.166,0.557,0.505,-6.805,0.0273,0.0769,0.0909,0.463,False
7454,Diplo,Heartless (feat. Morgan Wallen),169226,1,11,111.033,0.765,0.556,-6.417,0.0512,0.275,0.0824,0.274,False
7455,Nelly Furtado,Say It Right,223080,4,1,116.95,0.871,0.869,-6.308,0.139,0.0409,0.053,0.834,False
7456,Ellise,Wicked Witch of the Westside,168238,2,2,87.982,0.752,0.514,-4.853,0.0373,0.426,0.0973,0.642,False
7457,Trembling Sky,Take (What has been mine),208588,5,0,170.093,0.355,0.862,-5.279,0.0951,4.96e-05,0.253,0.537,False
7458,Evans Blue,Erase My Scars,204200,8,0,147.935,0.476,0.923,-3.905,0.101,0.012,0.165,0.373,False
7459,Silver,The Emptiness,208222,1,11,160.133,0.293,0.823,-7.319,0.0562,0.000634,0.216,0.16,False
7460,beabadoobee,"Yoshimi, Forest, Magdalene",204280,2,11,108.034,0.475,0.843,-4.528,0.038,0.000591,0.346,0.428,False
7461,Atlanta Rhythm Section,Quinella,326213,2,9,145.365,0.581,0.567,-10.113,0.0299,0.242,0.0696,0.895,False
7462,The Killers,Mr. Brightside,222586,21,1,148.017,0.356,0.924,-3.74,0.0808,0.00101,0.0953,0.232,False
7463,Melissa VanFleet,Raven,268507,13,3,120.049,0.47,0.811,-4.428,0.0366,0.000877,0.149,0.234,False
7464,Taio Cruz,Dynamite,203866,16,4,119.968,0.754,0.804,-3.177,0.0853,0.00332,0.0329,0.818,False
7465,Everyone Dies In Utah,E.T.,232071,29,5,150.159,0.372,0.9,-6.293,0.0994,0.00115,0.363,0.312,True
7466,Art Pepper,Blues In,360667,2,8,74.851,0.61,0.0521,-12.613,0.24,0.966,0.124,0.421,False
7467,Billy Talent,Forgiveness I + II,401557,2,4,133.079,0.328,0.967,-3.955,0.166,0.00738,0.364,0.149,False
7468,Wild Party,Connect The Dots,216133,1,2,130.088,0.571,0.73,-5.06,0.032,0.00166,0.0839,0.383,False
7469,The Aces,Stuck,206466,1,6,124.968,0.721,0.746,-4.247,0.0317,0.0114,0.0844,0.705,False
7470,Finger Eleven,Gather & Give,191200,3,4,80.008,0.488,0.858,-3.17,0.0324,0.233,0.0788,0.807,False
7471,Wilderado,Take Some Time,210895,1,5,80.01,0.623,0.61,-9.092,0.0348,0.14,0.11,0.857,False
7472,Taylor Swift,willow,214706,30,7,80.961,0.392,0.579,-9.195,0.164,0.835,0.145,0.549,True
7473,YUNGBLUD,11 Minutes (feat. Travis Barker) - Kayzo Remix,257349,5,11,165.922,0.425,0.948,-2.476,0.198,0.0244,0.122,0.524,False
7474,Echosmith,Tell Her You Love Her,246653,4,7,120.021,0.637,0.556,-7.625,0.0352,0.262,0.105,0.176,False
7475,Jeremy Soule,From Past to Present,304007,6,0,69.286,0.0717,0.0921,-21.53,0.0391,0.983,0.0748,0.0359,False
7476,To The Grave,Miserable Summer,294782,1,9,137.945,0.417,0.817,-7.821,0.0445,1.16e-05,0.0918,0.267,False
7477,Deftones,My Own Summer (Shove It),214760,10,1,71.841,0.443,0.781,-4.277,0.0377,1.33e-05,0.166,0.372,False
7478,Marika Hackman,Claude's Girl,158421,17,7,141.325,0.444,0.0629,-20.499,0.035,0.962,0.097,0.225,True
7479,Breaking Benjamin,Failure,214853,23,1,155.008,0.462,0.89,-4.853,0.0382,2.99e-05,0.0685,0.383,False
7480,Puscifer,Vagina Mine,2345,1,2,137.991,0.608,0.644,-8.259,0.0432,0.000858,0.519,0.399,False
7481,Rishloo,Scissorlips,349080,20,3,89.776,0.233,0.824,-4.538,0.0841,0.0227,0.372,0.363,True
7482,Belle Mt.,Hollow (Acoustic),236618,1,11,178.461,0.499,0.229,-9.642,0.0361,0.822,0.0914,0.239,False
7483,Cast of Zoey’s Extraordinary Playlist,Are You Gonna Be My Girl,76338,1,5,104.855,0.7,0.789,-5.489,0.104,0.00362,0.0552,0.593,False
7484,Jack Johnson,I Got You,177911,1,11,98.067,0.899,0.399,-6.553,0.038,0.607,0.0923,0.544,False
7485,Doll Skin,Control Freak,131160,6,5,143.769,0.414,0.972,-2.862,0.0856,0.000246,0.356,0.447,False
7486,Ariana Grande,the light is coming (feat. Nicki Minaj),228373,1,7,99.034,0.877,0.547,-5.705,0.18,0.0122,0.028,0.687,False
7487,Maisie Peters,Blonde,32505,1,9,179.846,0.406,0.818,-3.977,0.119,0.0885,0.308,0.632,False
7488,Siamese,Ocean Bed,233600,5,6,150.095,0.481,0.78,-9.489,0.0362,3.25e-05,0.161,0.481,False
7489,Gojira,Born For One Thing,260741,2,9,145.913,0.215,0.971,-4.897,0.0761,3.67e-05,0.308,0.376,False
7490,Pearl Jam,Light Years,306840,3,7,205.07,0.388,0.726,-6.911,0.0341,0.0447,0.213,0.746,False
7491,Ariana Grande,Break Your Heart Right Back,253386,2,6,93.93,0.726,0.605,-5.673,0.0628,0.0113,0.0639,0.588,False
7492,Gwen Stefani,4 In The Morning,291106,24,10,92.409,0.698,0.826,-6.261,0.031,0.2,0.114,0.502,False
7493,Ihsahn,Manhattan Skyline,290720,4,5,103.097,0.593,0.602,-5.666,0.0258,0.0469,0.198,0.0992,False
7494,Fifth Harmony,Worth It (feat. Kid Ink),224573,14,8,99.987,0.884,0.765,-3.865,0.0882,0.063,0.118,0.594,False
7495,Avril Lavigne,I Fell In Love With the Devil - Radio Edit,218878,3,6,136.006,0.563,0.74,-6.415,0.0762,0.0137,0.228,0.401,False
7496,Black Smoke Trigger,Caught in the Undertow (Live),275093,3,6,112.11,0.379,0.993,-4.197,0.099,0.0118,0.975,0.187,False
7497,Landon Tewers,Need to Change,287000,1,9,179.734,0.584,0.546,-5.841,0.136,0.114,0.298,0.386,False
7498,Art Pepper,When The Sun Comes Out - Remastered,270373,1,5,171.286,0.279,0.206,-12.962,0.0353,0.778,0.114,0.125,False
7499,Ashley Tisdale,"It's Alright, It's OK",179000,3,1,130.061,0.515,0.918,-2.033,0.0569,0.00662,0.162,0.265,False
7500,Godsmack,Something Different,282200,4,1,138.711,0.499,0.882,-4.092,0.043,0.000515,0.0925,0.335,False
7501,A Perfect Circle,The Contrarian,238533,5,2,119.959,0.494,0.682,-5.355,0.0341,0.0257,0.133,0.154,False
7502,Torrential Rain,Why Do I Care,300626,2,6,175.049,0.329,0.941,-3.312,0.0981,4e-05,0.173,0.428,False
7503,Lacuna Coil,Apocalypse - Live from the Apocalypse,250640,3,10,127.939,0.403,0.859,-3.388,0.0411,9.02e-05,0.393,0.234,False
7504,Ysabelle Cuevas,Closer,178666,5,8,90.146,0.558,0.172,-13.379,0.0513,0.874,0.1,0.518,False
7505,Fairground Saints,FourFiveSeconds,197080,2,2,102.948,0.669,0.335,-8.372,0.0282,0.625,0.106,0.31,False
7506,Finger Eleven,Thin Spirits,13384,12,8,95.396,0.43,0.914,-5.72,0.0477,0.00426,0.111,0.348,False
7507,The Maine,Love In Real Time,110888,1,4,106.025,0.588,0.706,-7.408,0.0332,0.465,0.111,0.345,False
7508,These Four Walls,White Lies,213952,7,6,165.01,0.41,0.986,-3.61,0.0927,0.000234,0.816,0.513,False
7509,DIAMANTE,Had Enough,178693,6,9,93.512,0.546,0.815,-6.621,0.0513,0.000193,0.0461,0.728,False
7510,Stabbing Westward,How Can I Hold On,260549,3,7,159.926,0.377,0.864,-5.313,0.0321,0.000575,0.558,0.578,False
7511,The Neighbourhood,Silver Lining,179453,2,2,122.92,0.562,0.53,-7.665,0.0286,0.0226,0.106,0.391,False
7512,Poemme,Last Dream Before Sunrise,317047,2,11,61.882,0.118,0.296,-23.831,0.0737,0.946,0.111,0.184,False
7513,Philmon Lee,No Saving Me (feat. Lindsey Stirling),222626,1,1,83.363,0.514,0.195,-9.902,0.0283,0.79,0.111,0.155,False
7514,City of Souls,SLEEP,253121,1,1,99.972,0.487,0.924,-2.694,0.051,3.44e-05,0.298,0.179,False
7515,Soen,Lucidity,394904,8,9,136.349,0.274,0.347,-9.312,0.031,0.0801,0.157,0.16,False
7516,RY X,Berlin,7267,4,7,136.938,0.393,0.0668,-20.755,0.0404,0.963,0.107,0.0384,False
7517,Of Monsters and Men,Silhouettes - From “The Hunger Games: Catching Fire” Soundtrack,271306,7,11,116.738,0.491,0.591,-9.052,0.0358,0.00165,0.198,0.147,False
7518,The Stone Roses,I Wanna Be Adored - Remastered,8050,1,4,112.596,0.494,0.862,-9.158,0.0273,0.012,0.228,0.59,False
7519,Echos,Cross,173250,1,8,135.922,0.684,0.449,-10.241,0.234,0.0315,0.215,0.128,False
7520,Violet Orlandi,May It Be - Cover,216012,2,9,141.672,0.14,0.216,-10.809,0.0325,0.896,0.0895,0.0881,False
7521,Greyhaven,Echo and Dust Pt. II,327870,2,9,127.928,0.388,0.934,-3.948,0.0883,0.00284,0.109,0.0922,False
7522,Klaxons,Golden Skans,165120,2,2,141.955,0.463,0.836,-2.776,0.0381,0.000418,0.25,0.713,False
7523,Modestep,Seams,233001,2,7,173.864,0.444,0.889,-5.069,0.105,0.000515,0.0763,0.322,False
7524,Victims Aren't We All,Dysphoria,240428,2,11,140.01,0.48,0.862,-8.731,0.0465,0.00345,0.086,0.439,False
7525,The Pussycat Dolls,I Hate This Part,218386,7,5,111.567,0.746,0.61,-4.236,0.033,0.0783,0.251,0.529,False
7526,Declan McKenna,Make Me Your Queen,221360,2,2,125.041,0.491,0.666,-6.42,0.0317,0.00146,0.104,0.26,False
7527,P!nk,What About Us,269600,12,1,113.608,0.491,0.588,-6.177,0.0506,0.0281,0.0906,0.193,False
7528,Red,The War We Made,232350,15,5,100.107,0.459,0.859,-5.859,0.0492,0.000792,0.0729,0.408,True
7529,RY X,Deliverance,230379,4,6,114.953,0.404,0.4,-12.213,0.0403,0.615,0.101,0.113,False
7530,Thousand Below,No Place Like You,205711,3,6,80.037,0.372,0.946,-4.304,0.0762,0.00133,0.132,0.174,False
7531,Animeme Rap Battles,Slender Man vs. Unwanted House Guest,141429,1,0,70.054,0.584,0.769,-2.26,0.165,0.18,0.164,0.285,False
7532,Evanescence,Lithium,224106,9,10,117.988,0.483,0.631,-3.826,0.0356,0.214,0.0974,0.212,False
7533,Alice In Chains,Angry Chair (2022 Remaster),165101,21,8,106.988,0.325,0.936,-6.295,0.0848,0.0419,0.0415,0.159,True
7534,Aranda,Invisible,397526,8,0,89.931,0.49,0.816,-5.602,0.0422,0.000239,0.121,0.3,False
7535,Gabbie Hanna,Out Loud,198600,6,5,74.973,0.581,0.571,-8.733,0.135,0.00662,0.14,0.328,False
7536,Fame on Fire,Hello,11582,5,3,157.894,0.417,0.864,-4.082,0.0608,0.0522,0.152,0.296,False
7537,Alicia Keys,ocean eyes - Recorded Live at Jungle City Studios,184548,14,7,88.203,0.353,0.148,-13.108,0.0421,0.934,0.112,0.297,False
7538,Cemetery Sun,Wish It Was Love,37890,7,1,164.045,0.495,0.901,-4.472,0.0332,0.0792,0.0986,0.688,False
7539,*NSYNC,Bye Bye Bye,200400,7,8,172.638,0.61,0.926,-4.843,0.0479,0.031,0.0821,0.861,False
7540,Louna,Intro 2019 - Live,164457,1,6,124.042,0.508,0.67,-13.525,0.0676,0.118,0.371,0.156,False
7541,The Vaccines,Rolling Stones,189200,2,4,139.825,0.351,0.653,-4.955,0.036,0.00117,0.23,0.258,False
7542,Usher,Yeah! (feat. Lil Jon & Ludacris),0,14,2,105.018,0.894,0.791,-4.699,0.112,0.0183,0.0388,0.583,False
7543,Pop Evil,Set Me Free,209956,2,4,102.022,0.473,0.941,-4.77,0.0682,6.71e-05,0.121,0.299,False
7544,Camila Cabello,Consequences - orchestra,181913,4,0,104.851,0.547,0.289,-8.131,0.0348,0.645,0.148,0.213,False
7545,A Day To Remember,You Should've Killed Me When You Had the Chance,220413,1,0,185.232,0.211,0.965,-5.467,0.211,4.44e-05,0.526,0.346,False
7546,Finger Eleven,Five Crooked Lines,224680,1,10,135.012,0.507,0.987,-4.293,0.0868,0.00767,0.221,0.363,False
7547,Shinedown,CREATURES,236386,1,11,142.071,0.497,0.836,-4.494,0.0295,0.000312,0.194,0.507,False
7548,Young the Giant,Superposition,230959,8,7,170.0,0.593,0.697,-5.416,0.0399,0.00289,0.14,0.428,False
